id,first_name,last_name,email,registered_at,password_sha256_hash,yandex_oauth_token
1,Alexander,Pushkin,pushkin.as@phystech.edu,"1820-07-20 13:17:29.441070","220CF2677CA755B9BA6F30B10AB0D3233FA58BFDA2F6D8F6231015DB0FC5D9FC",
2,Lev,Tolstoy,tolstoy.ln@phystech.edu,"1849-10-24 16:29:41.290410","110CF2677CA755B9BA6F30B10AB0D3233FA58BFDA2F6D8F6231015DB0FC5D9FC",
3,Pavel,Lebedev,lebedev.pi@phystech.edu,"2005-09-24 01:11.765432","0CDD4F8B426E9FF06831313D4905AE4109F273AD1D15A3D4297612A4E2EC434B",
4,Natalia,Solovyova,solovyova.np@phystech.edu,"2007-03-05 20:18.654321","910E54C72DA60A3D067204759C5956FBE6CC2A2446DD4ECE60C6F083C8020200",
5,Maxim,Zhukov,zhukov.ma@phystech.edu,"2009-02-21 22:03.567890","34986D87D6772B8E50A1A789B236FD82D77D42EB62B2989FA692BF7274DDC178",
6,Andrey,Belov,belov.as@phystech.edu,"2012-12-12 12:30.234567","0CF6F7E94573752ED5E0DA608A0692E274F5765B1E6D6A2D1E1A5B4171A39A75",
7,Yulia,Morozova,morozova.yn@phystech.edu,"2014-06-30 16:55.543210","1060960BF4B45A8561C8300E641DC7B8AAC837BA27918CDDBDC08340DEA25208",
8,Valeriy,Zainullin,zainullin.vv@phystech.edu,"2015-03-30 11:34:40.564908","200CF2677CA755B9BA6F30B10AB0D3233FA58BFDA2F6D8F6231015DB0FC5D9FC",
9,Alexandra,Petrova,petrova.ad@phystech.edu,"2015-05-27 14:22.123456","C67E57670F4F41979B2E28E47D0EF5329D6F876E27D4F6E189A32E2A2CF7A953",
10,Olga,Nikitina,nikitina.oa@phystech.edu,"2016-11-08 03:56.876543","E57872F1A64AD8C646C96C7FDEB95661244CF844E0622976FF28B08C73D7F0DE",
11,Ekaterina,Kozlova,kozlova.ev@phystech.edu,"2018-10-03 10:15.345678","0B41CB70E2B68111904BDCBBCC3F819F575BED4165D708ED3AF2BD96A6048EDC",
12,Victoria,Ivanova,ivanova.va@phystech.edu,"2019-05-07 07:28.321098","2FB0995B56B73E4E0544EDA515F6033FCDAAC6BD60FE52879357EAF519CB70C1",
13,Ivan,Ivanov,ivanov.im@phystech.edu,"2020-04-15 09:37.456789","4D9EF0E81B3B20D19E9C421C09B965058CB228C09F8280952077EE363C43FC60",
14,Sergey,Kuznetsov,kuznetsov.syu@phystech.edu,"2021-08-18 06:45.890123","B3725FDD4DCD64E73DE4B6645E3A46A00CEC4033203198D1F251752448824843",
15,Dmitry,Smirnov,smirnov.dv@phystech.edu,"2023-07-10 18:49.987654","410AE24238A7836F382BEDAC51C9DA41893306CFE460C1936E898E2EC9BD9C22",
